"avgAnnCount","avgDeathsPerYear","TARGET_deathRate","incidenceRate","medIncome","popEst2015","studyPerCap","binnedInc","MedianAge","MedianAgeMale","MedianAgeFemale","AvgHouseholdSize","PctMarriedHouseholds","BirthRate","Data","PctEmpPrivCoverage.greater.than.mean","povertyNum","marriedNum","PctNoHS18_24Num","PctHS18_24Num","PctSomeCol18_24Num","PctBachDeg18_24Num","PctHS25_OverNum","PctBachDeg25_OverNum","PctEmployed16_OverNum","PctUnemployed16_OverNum","PctPrivateCoverageNum","PctPrivateCoverageAloneNum","PctPublicCoverageNum","PctPublicCoverageAloneNum","PctWhiteNum","PctBlackNum","PctAsianNum","PctOtherRaceNum"
66,15,87.6,259,68352,30257,0,"(61494.5, 125635]",37.1,36.5,38.5,2.82,49.62042788,6.966359035,"Training",FALSE,293493,1482593,387290,862325,1086227,689860,520421,977302,2248096,142208,2066554,1466066,499241,263236,2713303,34920,28229,179932
130,48,165.9,480.9,41268,22043,0,"(40362.7, 42724.4]",40.1,38.9,41.8,2.63,55.01868316,6.596537366,"Training",FALSE,385753,1093333,557688,676721,919194,52904,881720,191775,1201344,229248,1293925,881720,965484,540054,2054632,92809,14440,5677
57,19,159.8,548.4,53905,7028,0,"(51046.4, 54545.6]",45.1,43.5,47.4,2.24,56.17542728,9.293394777,"Training",FALSE,76606,441359,85039,230519,353509,33735,281823,106826,446278,26004,527100,378810,249494,110340,687097,3877,2386,1988
228,97,201.8,496.9,35002,23898,0,"(34218.1, 37413.8]",54.4,53.9,54.8,2.06,46.59100754,5.928954766,"Training",FALSE,494689,1285713,463622,802973,1049123,74084,929633,217472,865108,339352,1450609,750398,1338288,544875,2313940,4767,6554,2185
1537,662,186.7,444.2,46139,311003,234.7244239,"(45201, 48021.6]",37.2,34.9,39.6,2.53,41.92591941,4.387164057,"Training",FALSE,4758346,12844424,4011939,9609993,15394649,2083721,8987987,5100450,16296558,2923429,20370697,14990345,10885105,5660255,21447265,6718921,899931,373516
590,219,165.3,470.7,60179,102295,332.3720612,"(54545.6, 61494.5]",42.8,41.8,43.9,2.55,58.10750661,4.47016211,"Training",TRUE,1104786,5697832,1166163,3662161,4756718,644459,4296390,1288917,6209307,583082,8071076,6260454,2925637,1166163,9441433,158418,74384,342669
290,147,163.3,339.2,37677,53159,0,"(37413.8, 40362.7]",48.6,47.4,50.1,2.5,48.17064422,6.179351922,"Training",FALSE,1297080,2705794,1328975,2030674,1828670,127582,1594770,515643,2200783,680436,2764268,1663877,2801480,1562875,4207226,38396,31897,104089
588,206,179.9,477.5,47201,186311,203.9600453,"(45201, 48021.6]",26.1,24.6,29,2.75,55.8526976,9.215177413,"Training",FALSE,2664248,10153950,1415964,8477151,8067267,670720,5384388,2515199,8123160,2161208,13619335,9930377,4993135,2366150,13848841,2889168,339461,496213
116,44,179.7,506.9,46927,15527,0,"(45201, 48021.6]",43.5,41.3,46,2.34,52.04957102,8.296346876,"Training",FALSE,226695,826037,354016,628844,472021,97821,538787,214273,863302,79188,1071363,752342,605553,295013,1467827,32819,18145,2678
202,81,185,485.8,46895,28672,34.87723214,"(45201, 48021.6]",44.1,43,45.2,2.42,53.24203229,6.404437721,"Training",TRUE,453018,1591296,490292,1227162,1006388,143360,1178420,295322,1665844,215040,1961165,1430733,1149748,599245,2715812,38884,15297,67800
176,106,223.4,367.3,38528,39718,0,"(37413.8, 40362.7]",39.8,37.8,41.5,2.46,49.41654648,3.651138835,"Training",FALSE,869825,1886605,484560,1413961,1838944,234337,1286864,357462,1640354,436898,2371165,1735677,1680072,909543,3680653,215201,18718,7154
73,28,153.1,391.6,49780,21489,0,"(48021.6, 51046.4]",31.5,30.6,32.4,2.93,53.06008644,4.818560381,"Training",TRUE,292251,1179747,616735,631777,861709,38681,610288,320187,1476295,75212,1407530,1179747,492099,268613,1390594,50070,81226,548076
72,31,159.5,392.1,45721,13383,0,"(45201, 48021.6]",42.9,41.6,44.7,2.35,52.80460624,7.372914241,"Training",FALSE,191377,707961,177994,524614,611604,24090,400152,188701,736065,91005,898000,629001,505878,215467,1230201,4842,3261,57311
399,130,119.8,348.4,48653,139097,50.32459363,"(48021.6, 51046.4]",30.8,30.7,31,0.027,44.86582724,5.030073987,"Training",FALSE,2962767,5730797,1349241,3658252,7914620,987589,2962767,2712392,8192814,1224054,8498827,6565379,4145091,2475927,8737507,217446,230674,497571
1962.667684,29,164.4,453.5494221,47381,23152,2850.725639,"(45201, 48021.6]",29.4,29.2,29.6,3.05,46.64438503,6.872294372,"Training",TRUE,363487,1104351,595007,548703,1108981,62511,574170,196792,1532663,208368,1423848,1229372,601952,398215,1374756,86743,68241,692949
1962.667684,27,162.3,453.5494221,51032,9340,0,"(48021.6, 51046.4]",44.5,43.5,45.8,2.21,52.02079887,9.56284153,"Training",TRUE,100872,537050,164384,361458,344646,63512,360524,117684,590288,36426,672480,508096,360524,184932,895856,15298,1569,12846
79,33,183.2,463.7,43770,12889,0,"(42724.4, 45201]",41.3,40.1,43.7,2.48,53.85802469,1.880766501,"Training",TRUE,183024,708895,389248,378937,393115,127602,595472,104401,717918,90223,845519,627695,471738,248758,1242964,5928,5335,11361
19,8,151.3,358,39601,5168,0,"(37413.8, 40362.7]",38.4,38.1,38.5,2.7,51.72964343,6.255585344,"Training",FALSE,103877,275972,80621,146255,289925,0,177780,48580,263568,64084,267186,196901,196901,109045,380624,123751,815,9167
442,165,156.6,452.9,51003,73435,2178.797576,"(48021.6, 51046.4]",43.4,42.1,44.8,2.3,51.03572217,4.989577905,"Training",TRUE,829816,4060956,895907,2893339,2812561,741694,2878652,947312,4494222,484671,5346068,4016895,2753813,1373235,6976087,39093,146251,45146
50,15,140.6,422.9,38871,13242,377.5864673,"(37413.8, 40362.7]",29.8,28.5,31.7,3.63,49.27293065,6.755829904,"Training",FALSE,405206,593242,417123,433014,467443,6621,462146,129772,679315,263516,395936,304566,470091,361507,440460,1210,3024,1814
740,269,172.7,499.3,51395,121846,837.1222691,"(51046.4, 54545.6]",41,40,42.2,2.56,52.93732685,5.818153266,"Training",FALSE,1912983,6530946,3107073,4118395,4581410,377723,3253289,1937352,6640607,999138,7846883,5903899,4642333,2461290,10428833,98218,230026,758686
1962.667684,28,154.5,453.5494221,51343,11041,0,"(51046.4, 54545.6]",46.5,44.4,48.6,2.23,56.62299854,8.178625188,"Training",TRUE,114827,695583,223029,356625,448265,76183,376499,177761,670189,45269,847949,611672,415142,171136,1076770,6051,3934,4942
94,41,189.7,445.2,35615,16704,0,"(34218.1, 37413.8]",41.5,40.9,42.1,2.68,55.28885946,2.292860865,"Training",FALSE,359136,868608,163700,603015,765044,138644,786759,131962,776736,150336,928743,669831,748340,440986,1617686,13978,6290,500
13,5,149.4,382,35875,2110,0,"(34218.1, 37413.8]",46.5,48.4,43.9,2.34,53.89830508,5.066666667,"Training",FALSE,41145,121747,110564,77437,23000,0,76804,29540,114784,7174,133774,100014,71951,35237,202620,0,0,499
228,95,208.5,510.7,34116,34123,0,"[22640, 34218.1]",43,41.5,43.9,2.44,40.55269457,4.40907905,"Training",FALSE,726820,1498000,484547,1453640,1341034,133080,1310324,259335,1699326,303695,1968898,1439991,1439991,822365,1967738,1375574,26034,1202
59,24,156.3,413.3,42099,10651,0,"(40362.7, 42724.4]",43.5,42.6,44.9,2.46,52.2423104,4.741980474,"Training",FALSE,174677,614563,78818,548527,404738,33019,356809,117161,553852,70297,554918,384502,461189,286512,950541,53863,402,25324
233,91,184.3,483.9,52776,37435,988.3798584,"(51046.4, 54545.6]",45.4,45.4,45.4,2.4,58.53674286,5.631220534,"Training",TRUE,393068,2242357,561525,1665858,1287764,232097,1635910,389324,2332201,205893,2736499,2197435,1227868,647626,3606151,9190,16582,26172
1962.667684,9,209.6,453.5494221,53484,3956,0,"(51046.4, 54545.6]",34.8,30.6,39.3,2.81,64.97461929,5.231143552,"Training",TRUE,48264,249228,118680,65670,197405,13846,92571,41538,262283,7121,306590,265448,84659,43912,330935,3404,1102,43344
1962.667684,3120,167.7,453.5494221,51241,2114801,405.2390745,"(51046.4, 54545.6]",36.4,35.9,37,2.78,43.81306543,5.125073246,"Training",TRUE,32990896,94320125,42718981,75075436,83323160,10362525,60906269,31933496,122024018,22839851,133020983,109335212,57734068,33836816,134819588,22917794,19392211,21456550
414,179,207.4,492.9,46322,67466,0,"(45201, 48021.6]",41,40,42.2,2.43,51.71667413,5.84433073,"Training",TRUE,1065963,3616178,789353,2334324,3137169,485756,2050967,843325,3643164,472262,4493236,3386794,2644668,1450519,6240513,290084,64028,15982
1962.667684,13,197.8,453.5494221,60279,7733,0,"(54545.6, 61494.5]",32.8,32.4,33.2,2.86,64.2777983,5.375139978,"Training",FALSE,84290,483313,292308,255189,225804,0,223484,108262,500326,56451,481766,410623,197965,138421,583240,99,0,171262
742,291,191.3,519.9,51205,111333,2065.874449,"(51046.4, 54545.6]",41.6,40.3,43.2,2.48,49.73780571,4.843425569,"Training",TRUE,1514129,5600050,1636596,3941189,4943186,623465,4174988,1213530,6334848,1091064,7737644,5934049,3985722,2159861,10475957,273935,75060,124507
94,40,180.7,426.9,35078,18963,0,"(34218.1, 37413.8]",39,37.1,41.4,2.71,49.42512216,5.015887426,"Training",FALSE,506313,969010,494935,785069,548031,68267,720594,136534,815409,261690,932980,656120,716802,417186,1595489,216760,14059,20440
142,72,206.1,429.4,41849,24513,0,"(40362.7, 42724.4]",41.4,38.9,42.9,2.56,48.81232613,3.708958249,"Training",FALSE,448588,1257517,747647,1049157,551543,102955,919238,301510,1188881,235325,1544319,1049157,951105,451040,2017812,207028,14098,107139
142,54,164.4,457,48994,21775,0,"(48021.6, 51046.4]",44.4,42.8,46.2,2.42,58.74613003,4.376511986,"Training",TRUE,254768,1313033,158958,990763,901485,126295,990763,237348,1199803,135005,1541670,1147543,810031,409370,2144319,12013,7090,1084
21,12,223.2,415.8,33324,3138,318.6743149,"[22640, 34218.1]",536.4,42.8,45.2,2.71,51.51515152,8.121019108,"Training",FALSE,76881,154076,85982,131169,96651,0,87551,27929,149055,36087,133679,152048,133993,84413,256292,23415,980,19595
38150,14010,148.4,405.5,55686,10170292,255.9415207,"(54545.6, 61494.5]",35.6,34.4,36.8,3.02,44.58164997,4.70528099,"Training",FALSE,190184461,431220381,155605468,274597884,487156987,100685891,210525045,201371782,589876936,101702920,559366060,482071841,334602607,233916716,541656637,84170756,143699922,199251501
1436,564,155.2,391.5,42360,459863,0,"(40362.7, 42724.4]",30.3,29.6,30.9,3.36,52.4099723,6.825864335,"Training",FALSE,12922151,21843493,9703110,15405411,19360233,1517548,11588548,4368699,24142808,5518356,19820096,16187178,21291657,16095205,37188160,794675,1562510,4187286
37,17,182.6,397.1,55520,7234,0,"(54545.6, 61494.5]",42.1,42,42.7,2.27,52.34427328,17.40104556,"Training",TRUE,95489,419572,119361,333488,237276,33277,232935,93319,417402,37617,530976,416679,212680,89702,685268,1518,3844,506
19,8,141,349.5,46503,4281,0,"(45201, 48021.6]",39,38.4,39.6,2.66,60.68268015,5.384615385,"Training",TRUE,59506,261141,73206,262426,85620,6850,164391,43239,233315,28683,319363,235884,140845,50088,414889,0,0,1614
1962.667684,4,178.7,453.5494221,70535,2016,0,"(61494.5, 125635]",43.9,44.9,42.6,2.17,56.06258149,2.412868633,"Training",TRUE,19757,130436,96970,38708,65924,0,72173,28628,129024,9476,154023,127613,37498,5242,193145,242,0,2899
43,17,192.3,479,47410,7182,0,"(45201, 48021.6]",42.1,38.8,44.2,2.44,53.25683429,3.571428571,"Training",TRUE,99112,395010,166623,280817,214742,55302,305954,87621,415838,55302,486222,395010,226952,127840,691928,1181,4330,99
60,31,190.2,389.4,31025,9409,0,"[22640, 34218.1]",50.7,50.7,50.8,2.22,52.49232223,5.784615385,"Training",FALSE,209821,556072,276625,341547,322729,0,415878,70568,369774,118554,485505,271921,490209,254043,907949,1579,0,4243
104,46,170.4,401.9,38504,22633,0,"(37413.8, 40362.7]",34,32.6,35.6,2.28,44.1308605,3.697749196,"Training",TRUE,486610,975483,110902,294229,1726898,131272,760469,319126,1172390,190118,1477935,1102228,812525,432291,1659847,541278,18902,11142
186,81,169.1,387.6,52785,48435,454.2169918,"(51046.4, 54545.6]",35.5,34.5,36.6,3.04,53.23829981,5.556068297,"Training",FALSE,818552,2523464,939639,1758191,1903496,242175,1743660,450446,2755952,314828,2794700,2242541,1578981,992918,4442432,37987,15133,196417
71,37,237.1,463.9,34172,12181,0,"[22640, 34218.1]",39.6,38.5,41.7,2.72,50.22233202,7.418397626,"Training",FALSE,304525,572507,369085,477496,302089,69432,454352,93794,498203,116938,563981,410500,526220,334978,775336,94978,3183,9449
84,32,176.9,510,42105,11703,170.8963514,"(40362.7, 42724.4]",43.7,41.9,45.2,2.37,50.9848174,4.500642949,"Training",FALSE,188419,644836,232890,459928,421308,56175,495037,91284,635473,110009,741971,539509,458758,237571,1124622,15978,3725,2157
103,43,166.3,414.4,55318,19856,0,"(54545.6, 61494.5]",41.5,40.8,42.4,2.55,56.89721545,5.682622023,"Training",TRUE,216431,1137749,418962,972944,496400,97295,820053,226359,1149663,162820,1433604,1129807,550012,236287,1942047,6747,3771,5656
119,38,147.9,500.8,61423,18340,0,"(54545.6, 61494.5]",42.1,41.3,43.6,2.37,57.38845144,5,"Training",TRUE,144886,1102234,229250,601552,838138,165060,678580,284270,1232448,55020,1492876,1113238,574042,232918,1783697,7187,11279,5290
145,73,211.4,429.4,39933,29343,0,"(37413.8, 40362.7]",37,35.7,40.1,2.77,49.32366203,5.189317106,"Training",FALSE,689561,1408464,748247,1229472,871488,85095,1208932,331576,1437807,278759,1499428,1100363,1091560,627941,1851112,80484,7661,110826
1962.667684,25,151.9,453.5494221,51028,9875,0,"(48021.6, 51046.4]",43,40.7,45.1,2.33,56.38703527,7.744282744,"Training",TRUE,110600,580650,156025,374263,408825,48388,363400,119488,628050,33575,735688,544113,345625,151088,914309,4502,5871,13797
313,138,207.1,475.7,39909,63390,0,"(37413.8, 40362.7]",35.2,34.2,36.5,2.62,53.09781409,5.167133642,"Training",FALSE,1160037,3264585,659256,1597428,3720993,361323,2104548,849426,3473772,481764,3885807,3071485,2294718,1369224,5770983,200673,45603,105634
41,20,250.7,512.7,25402,7307,0,"[22640, 34218.1]",33.3,32.1,36.8,2.26,28.8648245,4.305555556,"Training",FALSE,314201,205327,290088,343429,92069,5115,281320,48227,233824,140295,265245,190713,373388,265245,210024,509377,1169,1169
1962.667684,32,153.6,453.5494221,68777,20364,0,"(61494.5, 125635]",37.9,36.9,39,2.67,59.42297512,6.386701662,"Training",TRUE,154767,1213695,270842,786051,836961,142548,682194,368589,1453990,71274,1665776,1370498,502991,244368,1980497,10940,9636,7327
67,27,163.3,446.6,50703,10609,0,"(48021.6, 51046.4]",43.2,41.8,45.5,2.2,55.08733624,10.56949807,"Training",TRUE,110334,635480,67898,247190,633358,113517,372376,167623,645028,65776,869938,646089,341610,117760,1016322,9796,11495,3799
99,41,183.7,457.4,35470,18023,0,"(34218.1, 37413.8]",39.9,37.3,41.4,2.57,42.75114155,4.488542405,"Training",FALSE,445169,774989,436157,911964,419936,34244,758769,129766,897546,189242,1011091,873283,784001,475808,831915,889298,0,45038
1962.667684,145,193.5,453.5494221,45639,54521,36.68311293,"(45201, 48021.6]",42.6,41.2,44.4,2.43,42.93785311,4.262413265,"Training",TRUE,1052256,2458898,948666,1837358,2388020,278058,1559301,697869,2884161,616088,3342138,2502514,1940948,1019543,4516331,52638,162917,395283
145,61,189.9,452.7,32063,20426,48.9572114,"[22640, 34218.1]",47.1,44.2,49.7,2.35,37.33487833,2.454590083,"Training",FALSE,526991,788444,451415,692442,851765,46980,733294,147068,843594,324774,1027428,696527,988619,555588,816127,1160465,2236,6222
45,19,163,394.5,50758,10520,0,"(48021.6, 51046.4]",34.2,33.8,35,2.87,54.87066593,6.487488415,"Training",TRUE,108357,597536,218816,373460,438685,21040,349265,99940,713256,67328,739556,618576,270364,149384,959618,22396,1500,30795
147,72,209.9,434.4,39980,26928,0,"(37413.8, 40362.7]",39.6,36.8,44.9,2.72,45.24515393,2.467138524,"Training",FALSE,608573,1063656,740520,883239,899396,169647,996336,210039,1104048,333908,1545668,1304764,1042114,554717,2089411,539787,10881,3759
1296,500,178.7,489.2,42302,225411,70.98145166,"(40362.7, 42724.4]",36.8,35.2,39.1,2.55,42.75182259,5.545831589,"Training",FALSE,4936501,9557427,1915994,5635275,13209085,1780747,5094289,3944693,11022598,2727474,13186544,9670132,9534886,5409864,18777971,322980,971369,739035
262,94,169.3,491.1,47592,41753,47.90074965,"(45201, 48021.6]",43.8,43.1,44.7,2.6,57.55391134,5.784848148,"Training",TRUE,576192,2350694,697276,1707698,1394551,375777,1323571,688925,2296415,300622,2843380,2141929,1407077,747379,3653073,276225,17126,154533
499,215,206.1,463.1,56737,111901,89.3647063,"(54545.6, 61494.5]",38.4,38,38.6,0.0263,51.52350516,4.872468117,"Training",TRUE,1477094,5796472,1902317,4565561,3603213,1119010,4274619,1421143,6568589,1085440,7833070,5422026,3703924,1935888,9825045,820598,117743,101379
125,50,179,472.8,48846,17457,0,"(48021.6, 51046.4]",48.4,47.2,49.4,2.37,52.33217993,4.021937843,"Training",FALSE,205993,937441,312481,679078,708755,45389,597030,237416,913002,146639,1188822,771600,734940,295024,1676121,5807,4706,4005
196,66,175,516.3,58392,38066,0,"(54545.6, 61494.5]",38.3,37.1,39.1,2.74,61.37873754,5.778802962,"Training",TRUE,388274,2318220,567184,1560706,1572126,106585,1320891,631896,2272541,148458,2710300,1844442,1065848,517698,3189925,35135,22937,99878
57,26,144.4,350.1,49955,10321,0,"(48021.6, 51046.4]",48.3,47.8,48.9,2.34,54.02745995,6.796657382,"Training",FALSE,129013,596554,153783,443803,412840,20642,344722,154815,497473,49541,635774,453092,454124,234287,971248,2789,6873,5080
240,95,193.5,501.4,49897,37519,0,"(48021.6, 51046.4]",502.8,40.7,43.5,2.33,50.06252605,6.037875061,"Training",TRUE,619064,1853439,401454,1609566,1436978,303904,1774649,435221,1748386,240122,2678857,2044786,1358188,637823,3459862,190276,8209,20571
10,5,205.2,403,53420,1845,0,"(51046.4, 54545.6]",41,41.2,40.8,2.19,49.06600249,6.534090909,"Training",FALSE,19742,102951,23063,61070,20295,80073,44280,32473,124907,1845,138744,106457,50369,14022,179842,0,0,102
984,259,128.4,424,107250,322387,843.706477,"(61494.5, 125635]",37.6,36.9,38.2,2.76,66.6645667,4.964771639,"Training",TRUE,1192832,21148588,4803567,9284746,14056074,4094315,4158793,12186229,22663807,1321787,28660205,25436335,4448941,1805368,29180070,348250,1309717,362848
22,13,187.2,307.6,42820,4032,0,"(42724.4, 45201]",50.5,48.2,53.2,2.37,51.98366394,3.900156006,"Training",FALSE,59674,224583,124589,166522,112090,0,139911,61690,234663,27418,219341,140717,153620,71367,365915,100,12594,12098
345,177,212.7,420.9,39078,68066,0,"(37413.8, 40362.7]",40.4,39.4,42.1,2.59,51.45011601,6.366601435,"Training",TRUE,1361320,3491786,1381740,2402730,2797513,224618,2532056,660241,3519013,571755,4070347,3298055,2436763,1395353,6287670,311997,25618,41467
217,92,167.3,405,50774,48901,163.5958365,"(48021.6, 51046.4]",38.9,37.8,40.3,2.62,57.14516912,6.776406036,"Training",TRUE,523241,2806918,718845,2171205,1696865,303187,2156535,474340,3061203,327637,3784938,3036753,1413239,684614,4621811,127368,35181,16146
58,29,192.2,444,44282,8094,0,"(42724.4, 45201]",47,46.1,48.1,2.14,51.82132412,6.961613533,"Training",TRUE,116554,483212,90653,311619,360993,46136,321332,122220,486450,27520,562533,409557,324570,157024,755118,297,2073,987
108,41,155.2,364.1,72510,41764,0,"(61494.5, 125635]",33.3,32.2,34.1,3.27,56.91305397,6.93416809,"Training",TRUE,409288,2226022,902103,1052453,1887733,334112,1085864,735047,2915128,313230,2885893,2439018,806046,451052,2983334,595458,218953,185434
64,58,226.6,265.7,34099,17141,408.3775742,"[22640, 34218.1]",41.8,39.7,43.7,2.22,40.54159109,3.86837478,"Training",FALSE,373674,791915,178267,716494,757633,61708,562225,275971,879334,183409,982180,728493,719922,418241,1541165,97424,15944,22107
554,261,184.8,403.5,43379,131705,83.51998785,"(42724.4, 45201]",34,32.1,36.6,2.45,45.97943305,6.108318631,"Training",FALSE,2541907,5926725,1040470,5255030,6137453,737548,4267242,1896552,6901342,803401,8376438,6381605,4385777,2278497,10602115,1372375,270583,353524
120,49,155.8,385.4,40680,32623,0,"(40362.7, 42724.4]",33.8,33.5,34.2,3.08,56.88748686,6.467919637,"Training",FALSE,672034,1729019,597001,1295134,1272297,97869,959117,319706,1879085,244673,1784479,1580708,1089609,685083,2432620,319887,26557,402765
1397,469,164.9,489.8,61898,260131,499.7482038,"(61494.5, 125635]",39.3,36.9,41.7,2.54,52.85607588,6.118831029,"Training",TRUE,2913468,13656878,2991507,10275175,10951516,1794904,6035040,5098568,13500799,2081048,19535839,12604329,8558310,3641834,21273651,674970,1254315,479546
46,15,164.6,490.7,50751,9398,0,"(48021.6, 51046.4]",36.9,38,36.1,2.81,52.04855842,4.558969277,"Training",FALSE,192659,505613,140031,421971,341148,36653,307315,139091,539446,99619,554482,455369,260325,133452,573407,1910,5528,11457
113,55,247.3,497.9,31510,17896,3911.488601,"[22640, 34218.1]",40.1,35.6,44.1,2.63,38.43382929,6.288258208,"Training",FALSE,497509,617412,433084,780266,508247,68005,712261,143168,740895,266651,955647,681838,837533,468876,589393,1159978,776,2812
186,95,142.1,269.9,32366,71474,307.8042365,"[22640, 34218.1]",33.4,32.3,34.4,3.67,40.00103778,6.518302323,"Training",FALSE,2365790,2487296,1844030,2794634,2430116,78622,2387232,493171,2465853,1300827,2251431,1765408,3630880,2773192,1661094,43802,30523,75514
105,42,204.6,516.6,43647,17237,0,"(42724.4, 45201]",41.8,41.2,42.9,2.55,59.47831362,5.567338282,"Training",FALSE,310266,1010089,332675,701546,584335,105146,668796,170647,904943,196502,1061800,835198,649835,377491,1653030,21933,2133,10053
272,116,162.9,369.4,89106,68782,43.61606234,"(61494.5, 125635]",41.5,40.6,42.4,2.84,62.43695698,5.083533771,"Training",TRUE,508987,3954965,577769,2689377,2916357,694699,1960287,1410031,4457074,343910,5550708,4615273,1465057,639673,6003221,509674,86866,51590
269,124,203.1,460.6,41514,45366,0,"(40362.7, 42724.4]",38.8,37.4,40.7,2.46,46.08887662,6.042169307,"Training",FALSE,825662,2236544,1138687,1610493,1669469,117952,1542444,589758,2508740,353855,2658448,1928055,1755665,970833,3594490,85385,28760,120911
440,187,172.2,422.9,47433,82556,0,"(45201, 48021.6]",41.5,39.4,42.9,2.37,48.13878476,5.977036752,"Training",TRUE,1386941,4301168,2096923,2724348,2856438,577892,3005039,998928,4466280,759516,5638575,4169078,3046317,1519031,7285556,585219,102242,54562
37,18,148,328.3,36856,10980,0,"(34218.1, 37413.8]",34.6,35.1,34.4,2.96,37.16367713,2.542372881,"Training",FALSE,274500,401868,279990,449082,368928,0,327204,79056,598410,113095,427122,367830,442494,333792,1046606,5037,2365,41939
16,10,164.8,259.5,49947,6415,0,"(48021.6, 51046.4]",39.4,38.6,39.9,2.7,56.26631854,1.260504202,"Training",FALSE,179620,299581,185394,252751,93659,109697,178337,34641,236714,12830,331014,251469,236714,145621,544925,31825,401,39331
